date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:24:20	308/308	---MCZ	200	added ('OK')	text/plain	date:Thu,%2026%20Oct%202023%2016:24:19%20GMT	https://bossgiay.vn/robots.txt		(from )
23:24:20	310406/310406	---MCZ	200	added ('OK')	text/html	etag:W/%2295dbeea57b3f4b87b6007060f66ed222%22	https://bossgiay.vn/	E:/test_shoes_shop/bossgiay.vn/index.html	(from )
23:24:24	236769/236769	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:20%20GMT	https://bossgiay.vn/fonts/glyphicons-halflings-regular.eot	E:/test_shoes_shop/bossgiay.vn/fonts/glyphicons-halflings-regular.eot	(from https://bossgiay.vn/)
23:24:25	310393/310393	---MCZ	200	added ('OK')	text/html	etag:W/%222fcb6ea6e0d444869b21a50210b66fc1%22	https://bossgiay.vn/?view=amp	E:/test_shoes_shop/bossgiay.vn/index942b.html	(from https://bossgiay.vn/)
23:24:26	236769/236769	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:24%20GMT	https://bossgiay.vn/fonts/glyphicons-halflings-regular.eot?	E:/test_shoes_shop/bossgiay.vn/fonts/glyphicons-halflings-regulard41d.eot	(from https://bossgiay.vn/)
23:24:28	236769/236769	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:26%20GMT	https://bossgiay.vn/fonts/glyphicons-halflings-regular.woff	E:/test_shoes_shop/bossgiay.vn/fonts/glyphicons-halflings-regular.woff	(from https://bossgiay.vn/)
23:24:30	236769/236769	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:28%20GMT	https://bossgiay.vn/fonts/glyphicons-halflings-regular.ttf	E:/test_shoes_shop/bossgiay.vn/fonts/glyphicons-halflings-regular.ttf	(from https://bossgiay.vn/)
23:24:32	236769/236769	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:30%20GMT	https://bossgiay.vn/fonts/glyphicons-halflings-regular.svg	E:/test_shoes_shop/bossgiay.vn/fonts/glyphicons-halflings-regular.svg	(from https://bossgiay.vn/)
23:24:34	107826/107826	---M--	200	added ('OK')	image/png	etag:%2210c7caa82f4f3f7cfaaa3d19f2d46e1f%22	http://theme.hstatic.net/1000383440/1000607590/14/favicon.png?v=263	E:/test_shoes_shop/theme.hstatic.net/1000383440/1000607590/14/favicon0c55.png	(from https://bossgiay.vn/)
23:24:34	0/0	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Oct%202023%2016:24:32%20GMT	https://bossgiay.vn/owl.video.play.png	E:/test_shoes_shop/bossgiay.vn/owl.video.play.png	(from https://bossgiay.vn/)
23:24:35	109958/109958	---MCZ	200	added ('OK')	text/css	etag:W/%228dff32ced82e8cdf7dbc51315b2532eb%22	http://theme.hstatic.net/1000383440/1000607590/14/styles-new.css?v=263	E:/test_shoes_shop/theme.hstatic.net/1000383440/1000607590/14/styles-new0c55.css	(from https://bossgiay.vn/)
23:24:36	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2026%20Oct%202023%2016:24:36%20GMT	http://connect.facebook.net/en_US/fbevents.js	E:/test_shoes_shop/connect.facebook.net/en_US/fbevents.a.delayed	(from https://bossgiay.vn/)
23:24:39	32208/32208	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d9b5423e309cd0%22	https://stats.hstatic.net/beacon.min.js	E:/test_shoes_shop/stats.hstatic.net/beacon.min.js	(from https://bossgiay.vn/)
23:24:39	203933/203933	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2026%20Oct%202023%2016:24:36%20GMT	https://connect.facebook.net/en_US/fbevents.js	E:/test_shoes_shop/connect.facebook.net/en_US/fbevents.js	(from https://bossgiay.vn/)
